0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
people,day,country,new,protest,please,death,least,14,isolate,self,solidarity,one,afterwards,go,get,case,trump,not,take
trump,2020,may,day,case,death,enough,come,new,testing,us,people,today,say,april,administration,golf,get,2nd,one
wear,mask,stay,store,person,go,drive,grocery,nonmask,spread,islander,staten,people,get,foot,day,new,social,face,distancing
people,mask,death,new,test,get,case,health,need,day,trump,wear,one,help,not,take,time,go,may,today
new,case,death,today,people,total,one,day,report,may,test,get,take,update,trump,state,help,home,go,number
people,may,new,day,state,death,one,case,know,get,take,help,go,show,today,trump,-PRON-,say,need,time
case,people,death,day,new,one,go,get,work,today,take,may,state,trump,update,need,health,time,not,say
people,new,one,death,get,take,go,not,case,work,-PRON-,today,say,trump,day,need,time,health,mask,americans
new,people,take,death,one,state,may,know,today,work,get,health,go,help,case,day,trump,see,business,join
-PRON-,testing,white,house,trace,vote,people,get,new,mailin,yo,fine,position,go,death,one,take,today,help,health
one,day,family,life,lose,every,get,love,mourn,new,people,pray,always,somber,death,take,state,go,today,case
new,people,get,death,take,one,need,today,case,trump,go,day,not,health,state,say,help,work,time,like
people,new,death,get,case,one,take,go,day,today,trump,state,show,million,time,not,may,say,number,need
people,new,death,get,one,not,go,trump,day,today,take,need,case,say,state,time,work,help,health,country
new,people,death,day,today,go,one,time,case,get,need,take,trump,work,not,may,say,state,help,mask
people,new,get,death,one,case,take,day,go,trump,today,wear,help,not,state,mask,say,work,know,like
new,one,people,get,death,thing,case,day,go,take,many,trump,today,may,job,work,say,need,time,-PRON-
people,new,get,take,death,not,case,one,trump,today,go,day,say,need,-PRON-,work,time,die,help,mask
people,new,death,get,take,one,trump,go,day,case,not,say,today,patient,help,like,continue,time,need,business
people,new,death,mask,get,today,one,go,day,take,trump,case,not,need,say,-PRON-,help,health,time,state
